2018/02/28 3:47:21 午後 GMT+9	1	男	専門展でのE科の先輩の発表がかっこ良かったから。	特になし	電気電子系	Windows	まだ持ってない	発電効率・発電方法;プラズマ・核融合	学校が楽しい;休みが多い	早く研究室に入りたい	いい意味で変わったところ！！！	就職			家電・電子機器などの開発;電気工事;生産器具の開発	中部電力
2018/02/28 3:47:23 午後 GMT+9	1	男	なんとなく	特になし	電気電子系	Windows	漢検	プログラミングをすること;プラズマ・核融合	学校が楽しい;休みが多い;部活が楽しい	資格をとりたい	楽しいですよ	就職			家電・電子機器などの開発	
2018/02/28 3:47:28 午後 GMT+9	1	男	パソコンに関わってみたかった。	特になし	情報系	Windows	英検;数検;漢検	プログラミングをすること;ディープラーニングや人工知能;ロボットやドローン;マイコンなどの電子工作;ゲーム制作;アプリ開発;画像処理;3DCG制作	専門科目が先取りできること;学校が楽しい;授業が面白い;休みが多い	ゲーム製作	意外になにも知らなくてもなんとかなる。	大学編入	情報 (工学)系			
2018/02/28 3:47:34 午後 GMT+9	1	男	情報や電気機器が好きで興味があったため	特になし	情報系	Windows	英検;数検	プログラミングをすること;ゲーム制作	専門科目が先取りできること;学校が楽しい;授業が面白い	色々な資格を取りたい	バーチャルユーチューバー	迷っている				
2018/02/28 3:48:05 午後 GMT+9	1	男	情報系に興味があったから	特になし	情報系	Windows	英検	プログラミングをすること;ディープラーニングや人工知能;ゲーム制作;Webサイト制作;アプリ開発;画像処理;映像制作;音楽制作;3DCG制作	同じ趣味の人が多いこと;専門科目が先取りできること;学校が楽しい;授業が面白い;やりたいことが出来ること;休みが多い;部活が楽しい	アプリ開発	高専に入ってからと言って気を緩めずに日頃から勉強するようにしましょう	迷っている				
2018/02/28 3:48:06 午後 GMT+9	1	男	ゲームを作りたいから	特になし	情報系	Windows	英検	プログラミングをすること;ディープラーニングや人工知能;ゲーム制作;アプリ開発	同じ趣味の人が多いこと;専門科目が先取りできること;学校が楽しい;やりたいことが出来ること;休みが多い	ゲーム制作	高専は人生の墓場	専攻科進学				
2018/02/28 3:48:07 午後 GMT+9	1	男	コンピュータなどに興味があったから。	Eと、Dの違いがわからなかった。	迷っている	Windows;Mac	英検	プログラミングをすること;ディープラーニングや人工知能;ロボットやドローン;マイコンなどの電子工作;Webサイト制作;アプリ開発;画像処理;データサイエンス;映像制作;音楽制作;3DCG制作;WebやDTPなどのデザイン	同じ趣味の人が多いこと;専門科目が先取りできること;学校が楽しい;授業が面白い;やりたいことが出来ること;休みが多い;部活が楽しい	専門分野を深く学びたい。	114514	迷っている				
2018/02/28 3:48:19 午後 GMT+9	1	男	なんとなく	特になし	情報系	Windows	英検	Webサイト制作;映像制作;音楽制作	同じ趣味の人が多いこと;学校が楽しい;休みが多い	"キリトかなぁ～wwwwやっぱりwwww
自分では思わないんだけど周りからそう言われるww
この前DQNに絡まれた時も意識飛んで気づいたら周りに血だらけで倒れてたわww
ちなみに彼女もアスナ似(聞いてない)"	頑張れ	迷っている				
2018/02/28 3:48:25 午後 GMT+9	1	男	プログラムをしたかったから	特になし	情報系	Mac	なし	プログラミングをすること;ディープラーニングや人工知能;ロボットやドローン;ゲーム制作;アプリ開発	同じ趣味の人が多いこと;学校が楽しい;やりたいことが出来ること	ゲーム大会	高専は全てが自己責任なのでだらけても誰も注意しません！自立の心を持とう	迷っている				
2018/02/28 3:48:54 午後 GMT+9	1	男	オープンキャンパスで面白いそうだと思ったから	特になし	迷っている	Windows	なし	プログラミングをすること;ディープラーニングや人工知能	同じ趣味の人が多いこと;休みが多い	プログラミング	中学校の10倍くらい面白いですよ	専攻科進学				
2018/02/28 3:49:14 午後 GMT+9	1	男	興味があったから	特になし	迷っている	Windows	漢検	プログラミングをすること;映像制作	休みが多い	プログラミングの勉強	理想郷(ヴァルハラ)で会おう！	大学編入	情報 (工学)系			
2018/02/28 3:49:33 午後 GMT+9	1	男	たのしそうだったから	特になし	迷っている	Windows	ない??	プログラミングをすること;ゲーム制作;3DCG制作	休みが多い	勉強しなくても頭がいい人間になること	がんばれ	迷っている				
2018/02/28 3:49:41 午後 GMT+9	1	男	プログラムに興味があったから	特になし	情報系	学校PC (Windows)	持っていない	プログラミングをすること;ゲーム制作	同じ趣味の人が多いこと;学校が楽しい;やりたいことが出来ること	プログラムの勉強	同級生に気をつけろ	迷っている				
